Site_ID,Date,Surface_pH,DOC.mg.L,Landuse
14A,12-Jul-17,8.92,59.561,Pasture-livestock
14B,12-Jul-17,8.44,32.06,Pasture-livestock
20,24-Jul-17,9.11,21.656,Pasture-livestock
49,24-Jul-17,9.14,31.211,Grassland
54B,24-Jul-17,10.19,28.532,Pasture-livestock
53A,25-Jul-17,9.8,31.687,Grassland
54A,25-Jul-17,8.85,31.823,Grassland
52,25-Jul-17,8.74,33.52,Pasture-livestock
48A,24-Jul-17,8.62,31.317,Pasture-livestock
51,24-Jul-17,9.16,28.185,Pasture-livestock
48B,24-Jul-17,8.51,33.103,Domestic
55B,25-Jul-17,9.01,17.865,Crop
4G,27-Jul-17,7.73,66.448,Crop
4D,27-Jul-17,9,27.236,Crop
4E,27-Jul-17,8.11,37.441,Crop
4C,27-Jul-17,9.88,23.412,Crop
4B,27-Jul-17,9.85,31.655,Crop
4A,27-Jul-17,8.68,#N/A,Crop
62E,1-Aug-17,8.17,77.019,Grassland
62B,1-Aug-17,9.07,42.599,Pasture-livestock
62C,1-Aug-17,8.58,38.518,Pasture-livestock
61A,1-Aug-17,9.48,44.38,Pasture-livestock
61B,1-Aug-17,7.48,24.782,Pasture-livestock
61C,1-Aug-17,8.25,28.824,Pasture-livestock
56A,2-Aug-17,8.4,37.727,Grassland
56B,2-Aug-17,8.43,45.26,Grassland
66A,2-Aug-17,9.19,33.523,Grassland
66B,2-Aug-17,9.2,34.763,Pasture-livestock
66C,2-Aug-17,8.68,16.296,Grassland
27A,4-Aug-17,6.95,15.384,Domestic
27B,4-Aug-17,9.52,12.515,Domestic
27C,4-Aug-17,7.05,14.47,Domestic
45A,3-Aug-17,9.48,38.024,Pasture-livestock
45D,3-Aug-17,8.1,45.428,Pasture-livestock
45B,3-Aug-17,9.58,19.384,Pasture-livestock
45C,3-Aug-17,9.24,53.838,Pasture-livestock
15B,3-Aug-17,9.24,16.928,Grassland
15A,3-Aug-17,9.05,22.037,Domestic
67A,4-Aug-17,8.17,53.317,Crop
67B,4-Aug-17,9.01,35.02,Crop
22B,8-Aug-17,7.62,27.279,Crop
68,8-Aug-17,9.1,29.272,Domestic
32A,9-Aug-17,9.04,35.032,Pasture-livestock
32B,9-Aug-17,8.27,33.854,Grassland
32C,9-Aug-17,9,35.208,Pasture-livestock
8H,11-Aug-17,8.64,40.685,Pasture-livestock
8G,11-Aug-17,8.91,33.36,Pasture-livestock
8D,11-Aug-17,7.81,46.165,Pasture-livestock
8C,10-Aug-17,7.68,40.638,Pasture-livestock
8A,10-Aug-17,7.81,24.11,Pasture-livestock
8B,10-Aug-17,8.24,20.886,Pasture-livestock
69B,15-Aug-17,8.63,13.813,Pasture-livestock
69A,15-Aug-17,8.71,19.268,Pasture-livestock
69C,15-Aug-17,9.19,21.217,Pasture-livestock
26C,14-Aug-17,8.71,30.104,Domestic
26B,14-Aug-17,8.77,35.305,Pasture-livestock
26A,14-Aug-17,9.72,41.81,Pasture-livestock
24A,14-Aug-17,9.8,22.535,Pasture-livestock
24B,14-Aug-17,8.91,#N/A,Pasture-livestock
70A,15-Aug-17,8.57,43.581,Pasture-livestock
70C,15-Aug-17,8.06,4.59,Grassland
70B,15-Aug-17,8.83,24.442,Grassland
65,11-Aug-17,8.22,13.981,Pasture-livestock
8E,11-Aug-17,8.39,#N/A,Pasture-livestock
8F,11-Aug-17,8.73,45.621,Pasture-livestock
36,10-Aug-17,9.21,50.687,Grassland
63B,10-Aug-17,9.51,34.355,Pasture-livestock
63A,10-Aug-17,8.03,55.898,Pasture-livestock
64A,17-Aug-17,9.45,26.773,Pasture-livestock
64C,17-Aug-17,8.86,33.117,Pasture-livestock
64B,17-Aug-17,9.37,21.383,Pasture-livestock
31A,17-Aug-17,8.41,89.99,Pasture-livestock
31B,17-Aug-17,8.07,50.825,Pasture-livestock
7B,18-Aug-17,8.43,8.09,Pasture-livestock
7A,18-Aug-17,9.28,17.7,Grassland
7I,18-Aug-17,9.37,34.09,Crop
30A,17-Aug-17,7.86,47.398,Crop
30B,17-Aug-17,9.61,22.546,Crop
60A,18-Aug-17,8.29,28.407,Pasture-livestock
60B,18-Aug-17,9.79,13.503,Pasture-livestock
60C,18-Aug-17,9.36,49.586,Pasture-livestock
57D,22-Aug-17,9.29,26.291,Pasture-livestock
57C,22-Aug-17,8.86,24.166,Pasture-livestock
57B,22-Aug-17,9.09,29.147,Pasture-livestock
57A,22-Aug-17,7.99,16.285,Pasture-livestock
59B,21-Aug-17,9.59,12.014,Pasture-livestock
59A,21-Aug-17,8.31,19.771,Pasture-livestock
59D,21-Aug-17,8.41,35.188,Pasture-livestock
44A,22-Aug-17,8.71,9.222,Domestic
44B,22-Aug-17,8.49,32.502,Grassland
58A,22-Aug-17,8.52,90.392,Pasture-livestock
58B,21-Aug-17,8.81,63.373,Pasture-livestock
58C,21-Aug-17,8.59,19.843,Pasture-livestock
4H,23-Aug-17,8.29,18.601,Crop
5,24-Aug-17,8.07,15.401,Pasture-livestock
74A,24-Aug-17,7.84,10.824,Pasture-livestock
74B,24-Aug-17,8.52,17.436,Pasture-livestock
74C,24-Aug-17,9.19,20.063,Pasture-livestock
10C,24-Aug-17,8.88,22.682,Pasture-livestock
10D,24-Aug-17,9.69,28.95,Pasture-livestock
10A,24-Aug-17,7.88,20.094,Pasture-livestock
10B,24-Aug-17,9.3,29.128,Pasture-livestock
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
